Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
USA,California,Pond,17-07-2021,0.017,0.34,13.08,0.003,7.45,13.9,1.61,1.38,98.73,Excellent
Canada,Quebec,Lake,28-07-2020,0.036,,11.68,0.037,7.96,10.4,0.45,0.52,97.68,Excellent
China,Beijing,Creek,14-05-2022,0.154,1.22,10.39,0.011,6.69,17.5,0.58,1.35,90.79,Good
USA,California,River,23-03-2021,0.007,0.37,11.13,,6.49,16.0,2.7,2.48,94.17,Good
Canada,Ontario,Creek,11-02-2021,0.068,0.26,11.33,0.002,6.9,12.7,1.92,0.45,96.26,Excellent
China,Jiangsu,Lake,08-07-2022,0.079,1.47,14.65,0.01,8.13,4.9,2.79,2.24,94.21,Good
China,Guangdong,Canal,14-01-2020,0.032,0.98,11.69,0.088,7.57,16.4,0.35,0.49,97.19,Excellent
Canada,Alberta,Reservoir,23-07-2021,0.008,3.24,13.11,0.217,7.05,6.0,1.18,0.33,95.56,Excellent
Canada,Quebec,Canal,20-11-2021,,3.98,10.0,0.02,7.72,22.5,0.05,0.56,90.14,Good
USA,California,Stream,17-07-2020,0.218,2.03,9.71,0.032,7.05,24.4,0.1,1.87,85.82,Good
Ireland,Galway,Creek,25-06-2021,0.056,1.48,10.72,0.001,7.38,27.3,0.09,0.05,95.36,Excellent
USA,New York,Creek,12-09-2020,0.238,1.42,14.7,0.014,7.98,3.6,0.42,2.11,86.32,Good
England,London,Creek,23-08-2021,0.021,,13.77,0.112,6.8,11.0,0.62,2.47,94.9,Good
China,Guangdong,Creek,28-01-2021,0.026,0.23,13.26,0.028,7.36,12.5,1.36,2.96,98.42,Excellent
USA,California,Pond,11-04-2021,0.041,0.26,10.06,0.143,7.2,13.1,0.31,1.1,97.62,Excellent
Ireland,Dublin,Canal,21-04-2021,0.328,7.14,14.86,0.015,6.99,7.5,0.55,0.54,74.67,Fair
USA,New York,Reservoir,17-07-2022,0.067,0.31,9.74,0.212,7.23,34.7,0.22,1.67,95.6,Excellent
Ireland,Cork,Reservoir,28-12-2021,0.046,2.61,13.78,0.05,7.35,8.8,0.8,1.15,94.45,Good
Canada,British Columbia,Pond,31-10-2023,0.002,,12.6,0.036,6.7,10.5,0.21,1.55,97.09,Excellent
USA,Pennsylvania,Pond,16-12-2020,0.276,0.98,10.2,0.007,6.95,19.3,0.33,0.18,84.98,Good
China,Shanghai,Lake,04-08-2022,0.028,1.51,13.33,0.005,7.61,5.2,1.82,3.46,96.73,Excellent
England,Birmingham,Pond,10-11-2023,0.129,0.86,14.94,0.114,7.85,3.5,1.74,2.27,92.45,Good
China,Shanghai,Pond,26-10-2021,0.018,0.01,12.25,0.04,6.86,16.9,0.94,1.58,99.11,Excellent
USA,Texas,Canal,06-03-2020,0.039,0.54,9.98,0.069,6.84,20.9,0.84,2.84,97.31,Excellent
Ireland,Limerick,Reservoir,15-05-2020,0.028,0.62,10.11,0.181,7.61,30.2,0.4,3.34,97.83,Excellent
Canada,British Columbia,Lake,04-09-2023,0.086,1.4,11.84,0.034,6.82,24.7,0.17,1.92,93.95,Good
England,Leeds,Pond,28-07-2022,0.264,0.03,11.28,0.028,6.66,18.9,2.72,4.97,86.78,Good
Canada,British Columbia,Lake,20-05-2021,0.19,0.97,13.53,0.019,7.56,11.4,0.15,1.22,89.26,Good
China,Guangdong,Pond,12-04-2023,0.461,1.91,10.37,0.008,7.29,18.1,0.58,3.15,74.56,Fair
England,Leeds,Reservoir,25-03-2021,0.045,2.42,12.9,0.017,7.28,22.0,1.33,2.49,94.74,Good
